i,size_grid,nb_srcs,alpha,mu,decay,epsilon,time_sp,time_bio,n_steps_sp,n_steps_bio,perf_sp,perf_bio,cost_sp,cost_bio,ft_sp,ft_bio,diffset
1,150,8,0,1.8,0.5,0.0005,0.117,81.502,18,37,0.57024,0.5536,0.04641,0.03805,0.70982,0.62679,0.333
1,150,8,1,1.8,0.5,0.0005,0.089,81.991,17,40,0.58311,0.5536,0.05336,0.03805,0.83291,0.62679,0.455
1,150,8,2,1.8,0.5,0.0005,0.074,71.574,17,43,0.58311,0.5536,0.05336,0.03805,0.83291,0.62679,0.455
1,150,8,4,1.8,0.5,0.0005,0.07,69.057,16,54,0.58311,0.5536,0.05336,0.03805,0.83291,0.62679,0.455
1,150,8,8,1.8,0.5,0.0005,0.085,63.889,17,105,0.58948,0.59193,0.05658,0.04887,0.85591,0.86676,0.618
1,150,8,16,1.8,0.5,0.0005,0.087,59.854,17,53,0.58948,0.60055,0.05658,0.05467,0.85591,0.91872,0.611
1,150,8,32,1.8,0.5,0.0005,0.079,51.584,15,64,0.6372,0.62512,0.06307,0.06823,0.92972,0.97794,0.585
1,150,8,64,1.8,0.5,0.0005,0.08,50.537,16,135,0.6372,0.62512,0.06307,0.07015,0.92972,0.97857,0.571
2,150,8,0,1.8,0.5,0.0005,0.072,65.535,15,30,0.59051,0.58799,0.03435,0.03466,0.64821,0.64821,0.739
2,150,8,1,1.8,0.5,0.0005,0.081,65.032,15,30,0.59051,0.58799,0.03435,0.03466,0.64821,0.64821,0.739
2,150,8,2,1.8,0.5,0.0005,0.072,61.91,14,31,0.59051,0.58799,0.03435,0.03466,0.64821,0.64821,0.739
2,150,8,4,1.8,0.5,0.0005,0.063,58.694,14,34,0.59051,0.58799,0.03435,0.03466,0.64821,0.64821,0.739
2,150,8,8,1.8,0.5,0.0005,0.061,53.182,14,49,0.59051,0.60833,0.03435,0.05216,0.64821,1.0,0.486
2,150,8,16,1.8,0.5,0.0005,0.063,50.845,14,81,0.59051,0.62312,0.03435,0.06191,0.64821,1.0,0.447
2,150,8,32,1.8,0.5,0.0005,0.064,46.734,15,65,0.59051,0.62409,0.03435,0.06818,0.64821,1.0,0.405
2,150,8,64,1.8,0.5,0.0005,0.076,50.134,16,47,0.59051,0.63345,0.03435,0.0861,0.64821,1.0,0.34
3,150,8,0,1.8,0.5,0.0005,0.066,76.499,16,43,0.49275,0.47919,0.04973,0.05918,0.68622,0.97297,0.3
3,150,8,1,1.8,0.5,0.0005,0.062,81.437,16,42,0.49275,0.47919,0.04973,0.05918,0.68622,0.97297,0.3
3,150,8,2,1.8,0.5,0.0005,0.09,87.55,16,40,0.49275,0.47919,0.04973,0.05918,0.68622,0.97297,0.3
3,150,8,4,1.8,0.5,0.0005,0.093,82.825,16,37,0.49701,0.47919,0.05852,0.05918,0.81385,0.97297,0.273
3,150,8,8,1.8,0.5,0.0005,0.077,75.848,15,41,0.49701,0.47919,0.05852,0.05918,0.81385,0.97297,0.273
3,150,8,16,1.8,0.5,0.0005,0.074,72.025,15,41,0.49701,0.52236,0.05852,0.06604,0.81385,1.0,0.271
3,150,8,32,1.8,0.5,0.0005,0.09,81.105,16,171,0.49701,0.54999,0.05852,0.07473,0.81385,1.0,0.295
