i,size_grid,nb_srcs,alpha,mu,decay,epsilon,time_sp,time_bio,n_steps_sp,n_steps_bio,perf_sp,perf_bio,cost_sp,cost_bio,ft_sp,ft_bio,diffset
1,150,8,0,1.8,0.5,0.0005,0.107,66.401,21,35,0.51667,0.5883,0.0558,0.04975,0.70861,0.70077,0.279
1,150,8,1,1.8,0.5,0.0005,0.093,61.5,23,34,0.60748,0.5883,0.07218,0.04975,0.96874,0.70077,0.383
1,150,8,2,1.8,0.5,0.0005,0.073,58.704,18,34,0.60748,0.5883,0.07218,0.04975,0.96874,0.70077,0.383
1,150,8,4,1.8,0.5,0.0005,0.081,56.805,18,35,0.60748,0.5883,0.07218,0.04975,0.96874,0.70077,0.383
1,150,8,8,1.8,0.5,0.0005,0.074,52.502,17,42,0.60748,0.58873,0.07218,0.05721,0.96874,0.74778,0.367
1,150,8,16,1.8,0.5,0.0005,0.075,48.689,17,45,0.60748,0.59397,0.07218,0.06259,0.96874,0.8497,0.346
1,150,8,32,1.8,0.5,0.0005,0.072,45.149,17,65,0.61346,0.594,0.07999,0.07946,0.98342,0.94552,0.323
1,150,8,64,1.8,0.5,0.0005,0.057,42.07,13,53,0.6208,0.59701,0.08643,0.10124,0.98451,0.99042,0.342
2,150,8,0,1.8,0.5,0.0005,0.066,65.134,16,30,0.70016,0.68587,0.04635,0.04039,0.8243,0.75921,0.759
2,150,8,1,1.8,0.5,0.0005,0.067,59.044,15,30,0.70016,0.68587,0.04635,0.04039,0.8243,0.75921,0.759
2,150,8,2,1.8,0.5,0.0005,0.056,55.185,14,30,0.70016,0.68587,0.04635,0.04039,0.8243,0.75921,0.759
2,150,8,4,1.8,0.5,0.0005,0.059,55.477,15,31,0.70136,0.68587,0.05443,0.04039,0.88187,0.75921,0.667
2,150,8,8,1.8,0.5,0.0005,0.053,53.663,14,32,0.70136,0.68587,0.05443,0.04039,0.88187,0.75921,0.667
2,150,8,16,1.8,0.5,0.0005,0.057,53.239,14,33,0.70136,0.68587,0.05443,0.04039,0.88187,0.75921,0.667
2,150,8,32,1.8,0.5,0.0005,0.073,47.785,14,180,0.70136,0.70792,0.05443,0.05824,0.88187,0.96858,0.537
2,150,8,64,1.8,0.5,0.0005,0.063,42.979,15,57,0.70136,0.72162,0.05443,0.08935,0.88187,0.98362,0.434
3,150,8,0,1.8,0.5,0.0005,0.079,65.991,18,36,0.63971,0.59677,0.03827,0.0408,0.72468,0.71362,0.189
3,150,8,1,1.8,0.5,0.0005,0.079,60.815,18,36,0.63971,0.59677,0.03827,0.0408,0.72468,0.71362,0.189
3,150,8,2,1.8,0.5,0.0005,0.088,55.477,17,36,0.63971,0.59677,0.03827,0.0408,0.72468,0.71362,0.189
3,150,8,4,1.8,0.5,0.0005,0.083,52.75,17,36,0.63971,0.59677,0.03827,0.0408,0.72468,0.71362,0.189
3,150,8,8,1.8,0.5,0.0005,0.075,48.305,17,38,0.63971,0.59677,0.03827,0.0408,0.72468,0.71362,0.189
3,150,8,16,1.8,0.5,0.0005,0.062,44.983,14,41,0.67854,0.59677,0.04984,0.0408,0.95915,0.71362,0.342
3,150,8,32,1.8,0.5,0.0005,0.058,41.225,14,55,0.67854,0.62603,0.04984,0.05626,0.95915,0.89328,0.271
3,150,8,64,1.8,0.5,0.0005,0.06,45.641,14,109,0.67854,0.68017,0.04984,0.08859,0.95915,0.97775,0.293
4,150,8,0,1.8,0.5,0.0005,0.086,52.251,14,32,0.67433,0.66115,0.04574,0.04646,0.80119,0.78597,0.6
4,150,8,1,1.8,0.5,0.0005,0.059,50.959,13,32,0.67433,0.66115,0.04574,0.04646,0.80119,0.78597,0.6
4,150,8,2,1.8,0.5,0.0005,0.067,47.723,13,32,0.67433,0.66115,0.04574,0.04646,0.80119,0.78597,0.6
4,150,8,4,1.8,0.5,0.0005,0.057,45.664,13,33,0.67433,0.66115,0.04574,0.04646,0.80119,0.78597,0.6
4,150,8,8,1.8,0.5,0.0005,0.058,42.954,13,35,0.67433,0.66115,0.04842,0.04646,0.82211,0.78597,0.633
4,150,8,16,1.8,0.5,0.0005,0.052,40.641,13,39,0.67544,0.66466,0.052,0.0536,0.85542,0.84532,0.618
4,150,8,32,1.8,0.5,0.0005,0.056,39.951,13,86,0.67544,0.69421,0.052,0.07621,0.85542,0.987,0.438
4,150,8,64,1.8,0.5,0.0005,0.06,42.39,14,136,0.67544,0.70003,0.052,0.10087,0.85542,0.99822,0.356
5,150,8,0,1.8,0.5,0.0005,0.063,57.979,15,34,0.63618,0.62971,0.06583,0.05215,0.93619,0.77535,0.275
5,150,8,1,1.8,0.5,0.0005,0.067,53.725,15,34,0.63618,0.62971,0.06583,0.05215,0.93619,0.77535,0.275
5,150,8,2,1.8,0.5,0.0005,0.061,46.287,15,34,0.63618,0.62971,0.06583,0.05215,0.93619,0.77535,0.275
5,150,8,4,1.8,0.5,0.0005,0.067,44.122,15,34,0.63618,0.62971,0.06583,0.05215,0.93619,0.77535,0.275
5,150,8,8,1.8,0.5,0.0005,0.066,41.631,15,36,0.63618,0.62971,0.06583,0.05215,0.93619,0.77535,0.275
5,150,8,16,1.8,0.5,0.0005,0.089,42.533,17,48,0.63618,0.62971,0.06583,0.05215,0.93619,0.77535,0.275
5,150,8,32,1.8,0.5,0.0005,0.072,40.694,15,46,0.63779,0.635,0.07578,0.05955,0.9482,0.8591,0.471
5,150,8,64,1.8,0.5,0.0005,0.079,36.991,17,48,0.64293,0.65945,0.08487,0.09383,0.99447,0.97917,0.476
6,150,8,0,1.8,0.5,0.0005,0.082,89.458,18,29,0.70579,0.72479,0.04271,0.04729,0.75677,0.96398,0.457
6,150,8,1,1.8,0.5,0.0005,0.065,85.823,15,29,0.70799,0.72479,0.04794,0.04729,0.85864,0.96398,0.6
6,150,8,2,1.8,0.5,0.0005,0.063,81.916,15,35,0.70799,0.72479,0.04794,0.04729,0.85864,0.96398,0.6
6,150,8,4,1.8,0.5,0.0005,0.067,79.607,15,34,0.70799,0.72479,0.04794,0.04729,0.85864,0.96398,0.6
6,150,8,8,1.8,0.5,0.0005,0.059,74.997,14,32,0.70799,0.72479,0.04794,0.04729,0.85864,0.96398,0.6
6,150,8,16,1.8,0.5,0.0005,0.057,79.445,14,33,0.70799,0.72479,0.04794,0.04729,0.85864,0.96398,0.6
6,150,8,32,1.8,0.5,0.0005,0.067,72.378,15,71,0.70799,0.73286,0.04794,0.0589,0.85864,0.97098,0.5
6,150,8,64,1.8,0.5,0.0005,0.049,61.321,14,67,0.72996,0.7336,0.05769,0.07436,0.97907,0.97626,0.5
7,150,8,0,1.8,0.5,0.0005,0.059,44.035,13,33,0.83166,0.83079,0.02847,0.02644,0.8131,0.77792,0.455
7,150,8,1,1.8,0.5,0.0005,0.063,42.918,13,35,0.83166,0.83079,0.02847,0.02644,0.8131,0.77792,0.455
7,150,8,2,1.8,0.5,0.0005,0.053,43.471,14,39,0.83166,0.83079,0.02847,0.02644,0.8131,0.77792,0.455
7,150,8,4,1.8,0.5,0.0005,0.053,36.54,14,37,0.83166,0.83079,0.02847,0.02859,0.8131,0.82374,0.5
7,150,8,8,1.8,0.5,0.0005,0.047,36.119,13,34,0.8319,0.83079,0.03818,0.02859,0.87088,0.82374,0.682
