id_port,name,freq,w_dist,L_deg,P_deg,A_deg,L_unw_dist,P_unw_dist,A_unw_dist,travel_time_c0,travel_time_c2,nb_reach_c0,nb_reach_c2
4008,Durban,7.8833,4.4939,71,278,360,2.3616,1.6728,1.5904,13.0279,21.1743,435.9259,414.2963
3126,Durres,0.5417,6.1045,14,24,63,3.0549,2.5744,2.4005,15.221,26.5335,432.7284,383.4568
4452,Sakaiminato,1.0583,5.2806,11,17,26,3.119,2.4233,2.2975,11.2974,23.5028,436.7778,398.1852
2733,Cartagena(COL),10.2583,4.6887,89,258,304,2.2815,1.714,1.6499,10.1455,19.4154,436.963,424.321
2489,Timaru,0.3667,8.0785,7,54,60,3.389,2.0984,1.9794,21.502,32.4341,406.8889,345.9506
333,Cartagena(ESP),0.525,5.0729,16,25,43,2.7346,2.3982,2.238,13.6447,23.8681,435.1111,396.3086
4977,Los Angeles,7.35,4.9808,43,174,224,2.7483,1.8169,1.7551,9.9287,21.0722,436.9506,411.4568
4448,Bordeaux,0.3667,5.6017,8,22,35,3.2174,2.3707,2.2929,14.6521,27.3532,435.1481,405.1728
8029,Tilbury,5.7333,5.1937,30,171,241,2.5652,1.9245,1.746,11.3704,19.9466,436.037,419.0864
2334,Magadan,0.35,7.5771,4,4,4,3.7986,3.3158,3.2563,14.7906,27.7057,433.8025,355.1358
4510,Guanta,0.4917,4.5326,16,48,78,2.9771,2.5034,2.3432,16.0389,25.5137,407.7654,368.284
3370,Veracruz,1.3,4.9326,17,98,160,3.2975,2.0366,1.9062,14.3914,25.1703,434.2222,397.7531
6424,Borg Harbour,1.0917,5.972,17,34,47,2.9199,2.3432,2.2792,14.2088,24.0634,435.1728,405.7654
181,Casablanca,3.65,4.7181,68,165,245,2.3867,1.8604,1.7277,11.4661,20.284,435.1728,412.7037
4830,Savona,0.95,5.7589,14,87,139,2.9359,2.1465,1.8764,13.2851,23.7415,433.1605,389.4074
