id_port,Pathways_deg,Pathways_close_unw,Pathways_close_dur
4008,278,1.6728,18.6003
3126,24,2.5744,12.0215
4452,17,2.4233,15.8105
2733,258,1.714,13.9276
2489,54,2.0984,26.0133
333,25,2.3982,11.4658
4977,174,1.8169,15.8863
4448,22,2.3707,11.6318
8029,171,1.9245,12.8046
2334,4,3.3158,18.9729
4510,48,2.5034,12.74
3370,98,2.0366,15.4415
6424,34,2.3432,13.6742
181,165,1.8604,11.6334
4830,87,2.1465,12.3041
2823,102,1.9634,13.9505
5521,253,1.7757,11.3816
4436,24,2.222,15.0156
1509,291,1.6934,14.8903
2388,190,1.9199,12.6112
4774,73,2.3021,12.0895
1917,105,2.103,12.8471
4858,125,1.9199,17.1698
3179,75,2.0114,14.1217
4247,143,2.032,12.3824
7895,9,2.3936,14.4633
689,82,1.9428,11.7044
5836,25,2.46,12.9502
7597,174,1.8192,18.5051
4827,135,1.9314,13.1566
2992,140,1.881,17.0701
3218,18,2.4188,16.2891
273,159,1.9336,17.2203
3917,88,1.9977,17.8854
8805,83,2.2517,14.0379
4173,197,1.7986,22.8636
4402,38,2.3524,12.7895
774,19,2.2792,16.1406
1159,20,2.4165,14.7798
232,12,3.0892,15.467
490,162,1.8375,14.2818
3976,12,2.4142,13.5929
1504,296,1.6682,14.3458
3107,131,1.9382,19.7156
1675,168,1.8558,13.7185
3092,208,1.778,14.9977
5753,25,2.5469,14.463
5956,68,2.0847,16.2285
2067,25,2.46,12.2656
2331,191,1.8238,14.172
3952,36,2.508,15.8106
5171,41,2.2677,12.3951
2594,125,1.9519,15.988
2760,7,3.0892,14.4416
3837,17,2.5446,11.8713
1816,41,2.1945,25.211
369,35,2.27,18.4406
5899,38,2.3432,15.2127
5677,35,2.6156,12.0217
3110,135,1.9108,22.1704
1952,60,2.2014,14.3279
3099,34,2.2998,15.696
4188,40,2.524,13.2507
854,141,1.9474,14.4689
4837,256,1.7323,11.4743
1140,70,2.1053,11.3565
8857,194,1.7918,13.8625
1532,92,2.1304,11.9759
4625,39,2.2494,14.3456
2771,114,2.0206,12.5962
2828,133,1.9062,11.9666
943,42,2.3455,14.045
143,44,2.3204,15.3806
3010,41,2.2563,12.7998
5015,114,1.897,11.9218
4352,177,1.7986,16.2501
1782,17,2.3272,17.735
311,99,1.9794,16.9274
1340,14,2.4005,21.5331
3130,102,1.9405,16.2198
