id_port,name,freq,SpaceP_deg,SpaceP_close_unw,SpaceP_close_dur,travel_time_c0,travel_time_c2,nb_reachable_c0,nb_reachable_c2
4008,Durban,7.8833,360,1.5904,20.5669,13.0279,21.1743,435.9259,414.2963
3126,Durres,0.5417,63,2.4005,15.5373,15.221,26.5335,432.7284,383.4568
4452,Sakaiminato,1.0583,26,2.2975,17.4949,11.2974,23.5028,436.7778,398.1852
2733,Cartagena(COL),10.2583,304,1.6499,15.2374,10.1455,19.4154,436.963,424.321
2489,Timaru,0.3667,60,1.9794,23.1505,21.502,32.4341,406.8889,345.9506
333,Cartagena(ESP),0.525,43,2.238,14.3974,13.6447,23.8681,435.1111,396.3086
4977,Los Angeles,7.35,224,1.7551,16.7325,9.9287,21.0722,436.9506,411.4568
4448,Bordeaux,0.3667,35,2.2929,13.8341,14.6521,27.3532,435.1481,405.1728
8029,Tilbury,5.7333,241,1.746,15.0627,11.3704,19.9466,436.037,419.0864
2334,Magadan,0.35,4,3.2563,22.9244,14.7906,27.7057,433.8025,355.1358
4510,Guanta,0.4917,78,2.3432,15.3256,16.0389,25.5137,407.7654,368.284
3370,Veracruz,1.3,160,1.9062,16.6874,14.3914,25.1703,434.2222,397.7531
6424,Borg Harbour,1.0917,47,2.2792,16.9474,14.2088,24.0634,435.1728,405.7654
181,Casablanca,3.65,245,1.7277,14.3136,11.4661,20.284,435.1728,412.7037
4830,Savona,0.95,139,1.8764,15.7985,13.2851,23.7415,433.1605,389.4074
2823,Aarhus,3.8417,150,1.8764,17.9636,12.3998,21.4712,435.7407,415.679
5521,Genoa,8.325,356,1.5995,15.8483,11.3814,19.6781,434.9877,414.2099
4436,Subic Bay,0.4333,31,2.1625,18.0871,13.9401,26.0837,435.9506,391.4815
1509,Savannah,8.95,338,1.6362,15.9052,10.2296,18.3054,437.0494,424.4444
2388,Las Palmas,6.4333,261,1.7643,14.8042,11.9134,20.4764,435.8272,417.5802
4774,Venice,3.1667,108,2.1007,16.0015,13.3648,23.1758,433.3704,401.1975
1917,Leixoes,4.0083,158,1.9268,15.4061,12.5451,20.8687,435.284,414.9259
4858,Suape,3.3833,176,1.8124,20.8089,13.9856,23.0683,434.679,419.3951
3179,Lirquen,0.725,76,1.968,14.2458,13.4725,25.4344,436.0247,380.9753
4247,Lisbon,3.9333,212,1.9085,14.6512,11.9768,20.5425,434.9136,412.679
7895,Mai-Liao,1.125,25,2.3112,16.9257,10.0554,23.7213,436.8519,411.4198
689,Novorossiysk,1.5833,131,1.8535,16.7858,15.4595,26.0997,432.6296,382.7531
5836,Skikda,0.4833,47,2.3432,18.8072,15.5903,28.164,431.9259,396.2346
7597,Long Beach,5.0917,232,1.7529,17.5119,10.2249,20.6755,436.8765,416.7531
4827,Balboa,2.1833,209,1.7986,13.7932,12.7127,23.1038,435.7407,399.9012
2992,Abidjan,3.5417,207,1.7757,16.9756,13.6333,21.7987,435.3333,408.1975
3218,Reykjavik,0.6333,19,2.3478,18.5282,16.0417,28.3607,433.642,378.8889
273,Manzanillo(MEX),5.2667,195,1.7986,16.2861,11.8713,20.7954,436.6543,415.321
3917,Boston(USA),0.875,138,1.8627,18.9139,13.0782,23.1649,435.8519,408.9383
8805,Kitakyushu,7.9583,133,2.0938,17.5141,8.6109,19.5866,436.9259,414.1728
4173,Botany Bay,5.0917,217,1.7483,24.1957,16.6897,26.3041,427.7531,380.5679
4402,Abu Dhabi,1.2833,79,2.1098,17.5362,13.0464,25.0549,435.4074,411.2346
774,Zhangjiagang,0.325,19,2.254,17.6739,11.6746,26.8588,435.2593,384.1235
1159,Hososhima,0.8833,30,2.3249,17.212,10.2617,22.8314,436.642,399.037
